Periode,Tahun-Bulan,Jumlah
1,2009-1,174541
2,2009-2,147704
3,2009-3,168205
4,2009-4,188776
5,2009-5,190803
6,2009-6,200566
7,2009-7,235198
8,2009-8,232255
9,2009-9,218443
10,2009-10,221282
11,2009-11,184803
12,2009-12,222546
13,2010-1,179273
14,2010-2,191926
15,2010-3,192579
16,2010-4,184907
17,2010-5,203388
18,2010-6,228045
19,2010-7,254907
20,2010-8,243154
21,2010-9,240947
22,2010-10,229904
23,2010-11,199861
24,2010-12,227251
25,2011-1,209093
26,2011-2,207195
27,2011-3,207907
28,2011-4,224704
29,2011-5,209058
30,2011-6,245652
31,2011-7,283524
32,2011-8,258377
33,2011-9,258440
34,2011-10,247565
35,2011-11,221603
36,2011-12,253591
37,2012-1,253286
38,2012-2,225993
39,2012-3,230957
40,2012-4,225488
41,2012-5,220700
42,2012-6,244080
43,2012-7,271512
44,2012-8,254079
45,2012-9,257363
46,2012-10,255021
47,2012-11,242781
48,2012-12,268072
49,2013-1,232935
50,2013-2,241868
51,2013-3,252210
52,2013-4,242369
53,2013-5,247972
54,2013-6,275667
55,2013-7,297878
56,2013-8,309219
57,2013-9,305629
58,2013-10,266562
59,2013-11,307276
60,2013-12,299013
61,2014-1,279257
62,2014-2,275795
63,2014-3,276573
64,2014-4,280096
65,2014-5,286033
66,2014-6,330396
67,2014-7,361066
68,2014-8,336763
69,2014-9,354762
70,2014-10,341651
71,2014-11,296876
72,2014-12,347370
73,2015-1,301748
74,2015-2,338991
75,2015-3,305272
76,2015-4,313763
77,2015-5,295973
78,2015-6,359702
79,2015-7,382683
80,2015-8,303621
81,2015-9,389060
82,2015-10,369447
83,2015-11,270935
84,2015-12,370640
85,2016-1,350592
86,2016-2,375744
87,2016-3,364113
88,2016-4,380767
89,2016-5,394557
90,2016-6,405835
91,2016-7,484231
92,2016-8,438135
93,2016-9,445716
94,2016-10,432215
95,2016-11,413232
96,2016-12,442800
97,2017-1,460824
98,2017-2,453985
99,2017-3,425499
100,2017-4,477464
101,2017-5,489376
102,2017-6,504141
103,2017-7,592046
104,2017-8,601884
105,2017-9,550520
106,2017-10,465085
107,2017-11,361006
108,2017-12,315909
109,2018-1,358065
110,2018-2,452423
111,2018-3,492678
112,2018-4,516777
113,2018-5,528512
114,2018-6,544550
115,2018-7,624366
116,2018-8,573766
117,2018-9,555903
118,2018-10,517889
119,2018-11,406725
120,2018-12,498819
121,2019-1,455570
122,2019-2,437456
123,2019-3,449569
124,2019-4,477069
125,2019-5,486602
126,2019-6,549516
127,2019-7,604323
128,2019-8,606412
129,2019-9,590398
130,2019-10,567967
131,2019-11,497925
132,2019-12,552403
133,2020-1,536611
134,2020-2,364639
135,2020-3,167461
136,2020-4,379
137,2020-5,36
138,2020-6,45
139,2020-7,16
140,2020-8,12
141,2020-9,8
142,2020-10,63
143,2020-11,53
144,2020-12,150
145,2021-1,10
146,2021-2,12
147,2021-3,3
148,2021-4,9
149,2021-5,8
150,2021-6,1
151,2021-7,0
152,2021-8,0
153,2021-9,0
154,2021-10,2
155,2021-11,6
156,2021-12,0
157,2022-1,3
158,2022-2,1310
159,2022-3,14620
160,2022-4,58335
161,2022-5,115611
162,2022-6,181625
163,2022-7,246504
164,2022-8,276659
165,2022-9,291162
166,2022-10,305244
167,2022-11,287398
168,2022-12,377276
169,2023-1,331912
170,2023-2,323623
171,2023-3,370695
172,2023-4,411510
173,2023-5,439475
174,2023-6,478198
