Year,CommodityCode,CropName,CountyCode,County,HarvestedAcres,Yield(Unit/Acre),Production,Price(Dollars/Unit),Unit,Value(Dollars)
2020,216299,GRAPESWINE,55,Napa,45200,2.2,99300,4646.48,Tons,461395000
2019,216299,GRAPESWINE,55,Napa,44200,3.62,160000,5862.26,Tons,937962000
2018,216299,GRAPESWINE,55,Napa,43400,4.26,185000,5614.05,Tons,1038600000
2017,216299,GRAPESWINE,55,Napa,43600,3.26,142000,5287.55,Tons,750832000
2016,216299,GRAPESWINE,55,Napa,43400,3.53,153000,4768.02,Tons,729507000
2015,216299,GRAPESWINE,55,Napa,43000,2.88,124000,4410.76,Tons,546934000
2014,216299,GRAPESWINE,55,Napa,43600,4.04,176000,4061.43,Tons,714811000
2013,216299,GRAPESWINE,55,Napa,43600,4.01,175000,3749.91,tons,656235000
2012,216299,GRAPESWINE,55,Napa,43200,4.24,183000,3585.99,Tons,656236000
2011,216299,GRAPESWINE,55,Napa,43600,2.8,122000,3470.84,Tons,423442000
2010,216299,GRAPESWINE,55,Napa,43300,3.21,139000,3265.35,Tons,453883000
2009,216299,GRAPESWINE,55,Napa,43031,3.32,142976,3462.25,Tons,495018700
2008,216299,GRAPESWINE,55,Napa,42870,2.7,115864,3451.57,TONS,399913100
2007,216299,GRAPESWINE,55,Napa,42338,3.43,145115,3256.77,TONS,472606600
2006,216299,GRAPESWINE,55,Napa,42188,3.62,152776,3070.33,TONS,469072900
2005,216299,GRAPESWINE,55,Napa,41910,4.32,181025,2987.43,TONS,540800000
2004,216299,GRAPESWINE,55,Napa,40439,2.96,119874,2915.56,TON,349500000
2003,216299,GRAPESWINE,55,Napa,39106,3.29,128814,2985.7,TON,384600000
2002,216299,GRAPESWINE,55,Napa,37072,3.51,130099,2920,TON,379930000
2001,216299,GRAPESWINE,55,Napa,35095,3.6,126438,2802,TONS,354338000
2000,216299,GRAPESWINE,55,Napa,32365,4.23,136962,2464,TON,337469000
1999,216299,GRAPESWINE,55,Napa,30506,3.39,103526,2143,TON,221852000
1998,216299,GRAPESWINE,55,Napa,30875,3.32,102355,1910,TONS,195481000
1997,216299,GRAPESWINE,55,Napa,31184,4.62,144217,1724,TONS,248701000
1996,216299,GRAPESWINE,55,Napa,30919,3.24,100251,1512,TONS,151595000
1995,216299,GRAPESWINE,55,Napa,31514,3.49,109842,1310,TONS,143929000
1994,216299,GRAPESWINE,55,Napa,32239,3.76,121292,1213,TONS,147161000
1993,216299,GRAPESWINE,55,Napa,32034,3.48,111589,1205,TONS,134486000
1992,216299,GRAPESWINE,55,Napa,31155,4.34,135256,1240,TONS,167682000
1991,216299,GRAPESWINE,55,Napa,29993,4.61,138322,1260,TONS,174275000
1990,216299,GRAPESWINE,55,Napa,28846,3.96,114304,1229,TONS,140484000
1989,216299,GRAPESWINE,55,Napa,27858,4.77,132849,1157,TONS,153688000
1988,216299,GRAPESWINE,55,Napa,29243,3.41,99777,982,TONS,97943000
1987,216299,GRAPESWINE,55,Napa,28970,3.46,100180,820,TONS,82162000
1986,216299,GRAPESWINE,55,Napa,27653,4.09,113220,757,TON,85676000
1985,216299,GRAPESWINE,55,Napa,25690,3.95,101407,772,TONS,78332000
1984,216299,GRAPESWINE,55,Napa,24831,4.03,99996,768,TONS,76836000
1983,216299,GRAPESWINE,55,Napa,25245,3.53,89084,714,TONS,63604000
1982,216299,GRAPESWINE,55,Napa,24168,4.08,98687,773,TONS,76257000
1981,216299,GRAPESWINE,55,Napa,22152,3.62,80155,732,TONS,58659000
1980,216299,GRAPESWINE,55,Napa,22261,3.6,80112,622,TONS,49863000
