rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students
1,University of Oxford,98.5,96.6,100,99,98.7,97.5,"21,750",10.9,42%
2,Stanford University,98,99,97.8,99.6,100,87,"14,517",6.4,23%
3,Massachusetts Institute of Technology,97.9,98.6,96.2,99.7,100,93.8,"11,085",8,33%
4,Harvard University,97.8,97.7,99.9,99.4,84.2,90.8,"20,050",9,25%
5,University of Cambridge,97.5,95.8,100,98,87.9,97.4,"20,565",11.5,38%
6,Princeton University,96.9,96.3,97.9,98.8,95.1,89.1,"7,753",7.3,23%
7,California Institute of Technology,96.5,96.6,98,95.9,100,90.6,"2,240",6.1,33%
8,Imperial College London,95.1,90.9,95.5,98.6,90.9,98.3,"20,275",11.8,61%
9,"University of California, Berkeley",94.6,87.2,98.8,99,99.4,86.8,"39,991",17.9,22%
10,Yale University,94.2,94,94.9,97.7,86.5,82.4,"11,924",5.2,21%
11,ETH Zurich,93.1,87.6,96.8,95.6,82.9,95.6,"22,619",15.4,43%
12,Tsinghua University,92.4,95.3,98.1,93.2,99.9,51.7,"38,518",11.2,10%
13,The University of Chicago,92.1,89.6,91.2,97.6,93.8,82.3,"15,792",6.2,36%
14,Peking University,91.8,95.6,97.3,87.2,98.8,70.2,"33,064",10.9,14%
15,Johns Hopkins University,91.1,84.4,92.3,97.2,100,84.2,"15,772",4.1,28%
16,University of Pennsylvania,91,87.7,89.7,97.6,97.7,78.8,"21,312",6.2,22%
17,Columbia University,90.9,88.6,89.7,97.4,75.2,86.9,"25,914",5.2,35%
18,"University of California, Los Angeles",90.1,85.7,91.9,96.4,92.3,74.3,"42,634",9.6,15%
19,National University of Singapore,90,78.8,94,95.4,100,91.1,"33,334",20,24%
20,Cornell University,89.5,85.7,88.7,97.6,69.4,86,"23,620",10,24%
21,University of Toronto,88.6,77.5,94.1,92.8,96.1,90.7,"79,282",25.8,27%
22,UCL,88.1,78.4,86.4,98.6,75.2,97.9,"41,110",11.3,61%
23,University of Michigan-Ann Arbor,87.4,84.7,87.4,95.5,80.7,69,"45,783",8.1,16%
24,Carnegie Mellon University,86.3,75,84.6,98.9,87.3,85.5,"13,562",11.9,44%
25,University of Washington,85.3,78,83.5,98.2,77.6,73.2,"49,486",10.1,16%
26,Duke University,83.9,79.3,76.1,96.2,100,74.8,"15,527",3.9,18%
27,New York University,83.5,73.2,84,94.9,75.4,80.7,"48,461",11.8,42%
28,Northwestern University,83.2,72.3,78.8,97.8,99.7,75.9,"18,894",13.1,18%
29,The University of Tokyo,83.1,93.9,94.2,67.8,100,49.7,"26,345",10.3,15%
30,University of Edinburgh,82.5,70.7,77.5,96.9,71.1,97,"33,940",11.5,46%
30,Technical University of Munich,82.5,69.8,85.1,90,100,83.1,"35,506",44.4,39%
32,"Nanyang Technological University, Singapore",82.3,66.2,80.9,94.5,99.7,93.3,"25,895",16.7,27%
33,École Polytechnique Fédérale de Lausanne,81.4,74.5,73.2,90.3,99.8,95.8,"12,543",13.5,64%
34,"University of California, San Diego",81,66,78.4,97.6,100,74.3,"40,596",12,19%
35,University of Hong Kong,80.3,65.6,72.3,96.4,95.2,96.8,"18,103",18.3,43%
36,Georgia Institute of Technology,80,63.4,78.9,94.1,94.6,84.8,"32,079",28,29%
37,University of Melbourne,79.2,64.8,76.4,90.1,98.3,92.7,"51,307",25.1,47%
38,King’s College London,79,59.8,75.1,97.7,74.2,97.5,"32,835",13.9,53%
38,LMU Munich,79,65.3,76.8,92.2,100,76.9,"34,622",33.5,18%
40,Paris Sciences et Lettres – PSL Research University Paris,78.5,75.7,72.8,83.2,99.7,81.6,"16,120",15,22%
41,University of British Columbia,78,62.5,76.6,90.5,76.7,95,"58,987",19.4,34%
42,University of Illinois at Urbana-Champaign,77.9,69.5,81.5,85.2,85.3,64,"50,250",19.6,23%
43,Shanghai Jiao Tong University,77.7,76.6,82.5,75.4,100,60.6,"38,472",12.6,9%
44,Fudan University,77.5,76.5,75.3,83.5,96,56.1,"38,101",12.6,9%
45,KU Leuven,77,60.1,74.9,91.9,100,79.6,"49,435",37.3,19%
46,London School of Economics and Political Science,76.8,59.5,73.5,95.4,55.9,94.1,"11,945",12.6,72%
47,Universität Heidelberg,76.7,67.7,64.3,94.6,99.3,76.4,"19,315",13.3,20%
48,Delft University of Technology,76.3,66.7,78.2,76.5,100,92.8,"21,262",15.9,30%
49,McGill University,76,62.3,72.3,88.8,76.1,92.5,"30,821",11.9,29%
50,Karolinska Institute,75.9,58.9,67.9,95.3,96,85.7,"8,085",9.9,27%
51,University of Manchester,75.6,61.4,67.1,93.1,73.1,95.6,"40,725",15.6,45%
52,University of Texas at Austin,75.5,66,75.7,91,81.4,47.3,"48,558",16.4,8%
