YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2021,1,1,98.58,3.54,5.3,2.32,2.98,287.25,5.58,7.23,3.39,3.84,288.31
2021,1,2,98.82,3.2,4.85,1.63,3.22,231.75,4.59,7.06,2.77,4.3,233.06
2021,1,3,99.35,2.17,2.84,1.32,1.52,46.69,3.05,4.41,1.94,2.47,118.31
2021,1,4,99.56,1.99,3.06,0.62,2.44,225.31,2.95,5.2,0.76,4.45,225.81
2021,1,5,99.1,2.28,3.65,0.58,3.07,282.31,3.56,6.41,0.71,5.69,283.06
2021,1,6,98.54,2.66,4.51,0.24,4.27,167.12,3.94,6.59,0.44,6.14,211.62
2021,1,7,97.76,6.6,12.15,1.52,10.62,253.19,9.41,15.8,2.26,13.54,254.62
2021,1,8,97.97,3.76,6.16,2.16,4.0,270.25,5.88,7.86,3.41,4.45,271.75
2021,1,9,98.08,4.12,6.59,1.88,4.7,266.0,6.23,8.1,3.03,5.07,267.0
2021,1,10,98.75,2.51,3.87,0.26,3.61,205.5,3.7,5.82,0.26,5.55,219.19
2021,1,11,99.32,3.15,4.8,2.27,2.54,208.25,4.92,7.25,3.2,4.05,222.62
2021,1,12,98.67,2.01,3.28,0.77,2.52,336.56,2.99,5.07,0.77,4.3,333.06
2021,1,13,98.64,2.37,3.48,0.75,2.73,231.94,3.38,5.95,0.88,5.08,246.12
2021,1,14,99.01,2.88,4.23,1.1,3.13,186.94,4.52,7.32,1.5,5.82,187.25
2021,1,15,99.41,2.88,4.38,1.76,2.62,84.44,4.35,6.54,2.41,4.12,84.94
2021,1,16,98.46,4.95,9.44,2.45,6.98,270.62,7.56,12.29,4.0,8.29,271.5
2021,1,17,98.64,2.16,3.25,0.67,2.58,85.69,3.32,5.73,0.4,5.34,83.12
2021,1,18,98.53,2.91,5.81,0.88,4.94,182.81,4.7,9.48,1.2,8.28,183.56
2021,1,19,98.94,6.1,8.47,3.87,4.6,316.56,9.16,11.4,7.3,4.11,315.81
2021,1,20,100.01,3.7,6.45,1.55,4.9,177.56,5.31,7.89,2.3,5.59,190.81
2021,1,21,99.63,1.82,3.33,0.29,3.04,281.62,2.69,4.3,0.7,3.6,282.69
2021,1,22,99.01,2.63,4.45,1.82,2.62,168.75,4.03,7.22,2.04,5.19,168.44
2021,1,23,99.29,6.01,7.66,4.02,3.64,68.94,7.52,9.13,6.22,2.91,55.75
2021,1,24,99.16,6.92,8.43,4.89,3.54,348.5,8.99,9.95,7.83,2.12,350.56
2021,1,25,99.7,3.52,4.72,2.42,2.29,194.94,5.33,7.25,3.65,3.6,165.5
2021,1,26,99.56,1.95,3.48,0.34,3.13,211.44,2.85,5.56,0.21,5.35,212.06
2021,1,27,98.53,5.24,7.77,2.07,5.69,286.0,8.15,10.88,3.0,7.88,285.5
2021,1,28,98.48,4.57,6.64,2.15,4.49,95.12,6.35,7.91,3.64,4.27,96.75
2021,1,29,97.69,4.98,6.98,2.48,4.5,282.38,7.84,10.8,4.29,6.51,283.19
2021,1,30,98.94,3.3,5.91,0.88,5.03,270.0,5.08,7.81,1.27,6.54,268.75
2021,1,31,99.67,3.9,5.33,2.15,3.17,194.25,5.76,7.59,3.2,4.39,193.56
2021,2,1,99.48,4.17,8.25,1.35,6.9,220.0,6.21,12.52,1.75,10.76,220.38
2021,2,2,98.08,5.26,10.76,1.61,9.15,279.38,7.67,14.79,2.39,12.4,280.56
2021,2,3,98.73,2.65,4.37,1.24,3.12,277.12,3.83,5.28,1.78,3.51,261.75
2021,2,4,98.69,5.12,9.78,2.5,7.27,269.56,7.62,12.37,3.77,8.6,271.06
2021,2,5,99.03,2.53,3.91,1.16,2.76,259.56,3.7,5.48,1.37,4.12,261.0
2021,2,6,98.55,2.3,3.55,0.52,3.02,266.06,3.46,6.16,0.66,5.5,268.5
2021,2,7,98.3,2.72,4.03,2.08,1.95,294.69,4.23,6.0,2.76,3.24,295.94
2021,2,8,98.33,3.43,4.93,1.38,3.55,191.38,5.0,8.27,2.05,6.2,219.0
2021,2,9,98.94,3.96,6.35,1.91,4.45,327.19,5.99,8.6,3.02,5.58,325.56
2021,2,10,98.99,2.4,3.42,0.42,3.0,274.38,3.41,4.51,0.57,3.94,275.25
2021,2,11,99.14,4.46,7.27,2.66,4.61,286.81,6.52,9.05,3.92,5.12,286.19
2021,2,12,99.85,2.06,2.78,0.66,2.12,113.75,2.95,4.41,0.43,3.98,113.69
2021,2,13,99.91,3.28,5.07,1.84,3.23,235.06,5.02,6.88,2.13,4.74,235.88
2021,2,14,99.3,4.07,6.54,2.42,4.12,222.0,6.31,8.3,2.98,5.31,222.56
2021,2,15,96.95,6.59,12.2,3.06,9.14,197.75,10.16,16.04,6.34,9.7,198.81
2021,2,16,97.35,6.73,9.19,4.81,4.38,263.88,10.45,13.66,8.62,5.05,265.5
2021,2,17,97.19,7.99,11.28,5.92,5.36,251.75,11.49,14.09,9.32,4.76,253.38
2021,2,18,97.74,3.59,5.84,2.35,3.49,292.06,5.56,9.48,3.81,5.66,293.25
2021,2,19,98.48,3.42,4.51,1.96,2.55,256.38,5.31,8.16,2.48,5.68,258.25
2021,2,20,98.14,5.68,9.24,2.94,6.3,238.88,8.53,11.55,4.5,7.05,240.75
2021,2,21,98.39,3.57,4.09,2.96,1.13,246.75,5.64,7.53,4.01,3.52,248.38
2021,2,22,98.23,4.19,6.2,2.87,3.34,240.88,6.41,9.66,3.2,6.45,242.25
2021,2,23,98.29,5.8,7.73,3.27,4.45,323.62,8.2,10.58,5.63,4.95,322.25
2021,2,24,99.13,4.92,7.02,3.27,3.74,265.56,7.39,8.88,5.98,2.91,278.75
2021,2,25,99.48,3.17,4.62,0.6,4.02,191.81,4.77,6.51,0.25,6.26,203.31
2021,2,26,99.24,3.79,5.51,2.8,2.7,220.25,5.74,8.45,3.65,4.8,219.5
2021,2,27,99.8,6.94,11.05,3.0,8.05,60.38,9.46,13.34,5.27,8.07,59.81
2021,2,28,100.44,2.64,3.23,0.93,2.3,215.25,3.88,5.45,0.9,4.55,216.81
2021,3,1,99.65,4.16,6.85,2.37,4.48,212.19,6.41,8.64,3.34,5.3,212.38
2021,3,2,98.17,9.42,13.96,4.43,9.52,240.19,12.77,17.74,8.03,9.71,240.75
2021,3,3,99.69,6.47,10.12,2.51,7.62,176.19,8.73,12.13,4.42,7.7,175.31
2021,3,4,100.29,2.34,3.49,0.65,2.84,153.06,3.26,4.58,0.6,3.98,154.94
2021,3,5,99.57,1.62,2.72,0.88,1.84,122.12,2.23,3.13,1.05,2.08,124.56
2021,3,6,99.05,4.95,8.57,2.0,6.57,148.75,6.92,11.22,3.64,7.58,148.12
2021,3,7,99.79,4.3,6.77,1.95,4.81,55.0,5.51,8.27,3.02,5.26,54.56
2021,3,8,99.63,3.52,4.66,2.16,2.51,171.81,4.87,6.3,3.95,2.34,171.88
2021,3,9,99.58,3.02,4.88,1.3,3.58,206.81,4.3,7.03,1.23,5.8,163.56
2021,3,10,99.24,5.58,8.55,2.56,5.99,228.31,7.79,10.62,3.91,6.71,227.31
2021,3,11,99.89,2.87,5.11,0.8,4.31,123.12,4.16,6.66,0.53,6.14,126.81
2021,3,12,99.59,2.14,3.39,0.3,3.09,215.94,3.0,4.59,0.46,4.12,216.0
2021,3,13,98.05,5.33,7.92,1.87,6.05,148.38,7.55,10.71,3.04,7.66,150.62
2021,3,14,98.06,6.2,8.78,3.84,4.95,320.19,9.27,11.3,7.48,3.83,319.56
2021,3,15,98.65,3.84,6.3,1.4,4.9,259.81,5.75,8.05,1.9,6.14,258.75
2021,3,16,98.24,4.98,10.13,1.07,9.06,228.62,6.96,12.71,1.55,11.16,230.88
2021,3,17,98.49,4.15,5.65,2.9,2.75,99.5,6.2,8.99,4.28,4.72,127.25
