-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  35.6764   Longitude 139.6503 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 232.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WS10M_MAX       MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN       MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS50M_MAX       MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN       MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PS,2012,98.81,98.75,98.65,98.73,98.28,98.25,98.21,98.59,98.7,98.79,98.62,98.73,98.59
PS,2013,98.88,98.86,98.58,98.24,98.5,98.25,98.16,98.05,98.75,98.98,98.78,98.54,98.54
PS,2014,98.96,99.0,98.65,98.81,98.36,98.02,98.2,98.34,98.56,99.0,99.0,98.59,98.62
PS,2015,98.71,98.68,98.85,98.89,98.27,98.13,98.3,98.27,98.54,98.83,99.31,99.12,98.66
PS,2016,98.8,99.04,99.07,98.59,98.61,98.25,98.31,97.86,98.64,99.01,99.12,99.01,98.69
PS,2017,98.72,98.63,98.61,98.51,98.5,98.16,98.24,98.07,98.48,99.06,98.99,98.84,98.57
PS,2018,98.66,98.83,98.95,98.7,98.42,98.25,98.37,98.23,98.61,98.89,99.22,99.11,98.68
PS,2019,98.83,99.01,98.53,98.54,98.6,98.05,98.27,98.22,98.83,98.86,99.08,99.16,98.66
PS,2020,98.85,99.08,98.61,98.5,98.4,98.05,98.25,98.47,98.54,98.99,99.26,98.87,98.65
PS,2021,98.92,98.72,98.95,98.98,98.26,98.32,98.35,98.36,98.75,99.13,98.85,98.84,98.7
PS,2022,98.75,98.84,98.71,98.88,98.54,98.31,98.1,98.22,98.7,99.17,99.07,98.71,98.66
WD10M,2012,337.5,339.06,323.75,203.88,247.0,120.44,197.31,197.88,139.75,7.06,311.12,311.44,312.62
WD10M,2013,323.5,325.56,295.19,243.94,206.19,124.19,192.81,197.56,61.06,0.25,272.94,302.44,288.38
WD10M,2014,318.75,349.0,300.31,242.12,231.56,130.62,180.94,210.38,24.12,350.12,332.94,281.69,297.12
WD10M,2015,321.75,325.62,308.19,253.31,225.81,166.75,206.44,116.0,47.81,343.12,353.56,330.88,312.31
WD10M,2016,320.44,317.31,356.19,223.81,204.0,182.12,156.69,94.75,78.56,13.19,351.12,310.5,325.44
